Título,URL,Procesado,Nota,Votos,Año,Reparto,Director,Compañías,Coproducción,Géneros,Premios,Presupuesto,Ingresos,Protagonistas
Nocturno 29,https://www.filmaffinity.com/es/film166799.html,Sí,5.8,227.0,1968-01-01,"['Luis Ciges', 'Lucía Bosé', 'Antonio Saura', 'Ramón Julia', 'Mario Cabré', 'Joan Ponç', 'Antoni Tàpies']",['Pere Portabella'],['Films 59'],[],"['Drama', 'Cine experimental']",[],0.0,0.0,Luis Ciges
Metroland,https://www.filmaffinity.com/es/film128583.html,Sí,5.8,242.0,1997-01-01,"['Christian Bale', 'Emily Watson', 'Lee Ross', 'Elsa Zylberstein', 'John Wood', 'Amanda Ryan', 'Jonathan Aris', 'Lucy Speed']",['Philip Saville'],"['Blue Horizon Productions', 'Filmanía S.L', 'Eurimages', 'MACT Productions', 'The Arts Council', 'European Co-production Fund']",['España-Francia-Reino'],"['Drama', 'Amistad']",[],0.0,0.0,Christian Bale
Puzzled Love,https://www.filmaffinity.com/es/film683162.html,Sí,5.8,416.0,2011-01-01,"['Marcel Borrás', 'Saras Gil', 'Artur Busquets', 'Irene C. Rodríguez']",['Bruno Sarabia'],['Escándalo Films'],[],"['Comedia', 'Romance', 'Drama', 'Película de episodios']",[],0.0,0.0,Marcel Borrás
Los gallos de la madrugada,https://www.filmaffinity.com/es/film756332.html,Sí,5.8,457.0,1971-01-01,"['Concha Velasco', 'Fernando Fernán Gómez', 'Alfredo Mayo', 'Tony Isbert', 'José Sazatornil']",['José Luis Sáenz de Heredia'],['Hidalgo Producciones Cinematográficas'],[],['Drama'],[],0.0,0.0,Concha Velasco
Todas las lunas,https://www.filmaffinity.com/es/film357402.html,Sí,5.8,915.0,2020-01-01,"['Haizea Carneros', 'Itziar Ituño', 'Zorion Eguileor', 'Josean Bengoetxea', 'Lier Quesada', 'Ane Biain', 'Elena Uriz', 'Miriam del Prado', 'Maite Sáez de Vicuña', 'Justi Larrinaga', 'Iraia Serrano', 'Andere Garabieta', 'June Larrañaga']",['Igor Legarreta'],"['Arcadia Motion Pictures', 'Kowalski Films', 'Vodafone', 'Noodles Production', 'ETB', 'Pris and Batty Films', 'RTVE', 'Filmax', 'Shudder']",['España-Francia'],"['Terror', 'Drama', 'Siglo XIX', 'Vampiros']",[],0.0,0.0,Haizea Carneros
Los últimos de Filipinas,https://www.filmaffinity.com/es/film532980.html,Sí,5.8,952.0,1945-01-01,"['Armando Calvo', 'José Nieto', 'Guillermo Marín', 'Manolo Morán', 'Juan Calvo', 'Fernando Rey', 'Manuel Kayser', 'Carlos Muñoz', 'José Miguel Rupert', 'Pablo Álvarez Rubio', 'Nani Fernández', 'Emilio Ruiz de Córdoba', 'César Guzmán']",['Antonio Román'],['Alhambra-CEA'],[],"['Bélico', 'Años 1900 (circa)', 'Histórico', 'Colonialismo']",[],6976542.0,0.0,Armando Calvo
El jugador de ajedrez,https://www.filmaffinity.com/es/film725404.html,Sí,5.8,1930.0,2017-01-01,"['Marc Clotet', 'Melina Matthews', 'Alejo Sauras', 'Stefan Weinert', 'Mike Hoffmann', 'Andrés Gertrudix', 'Pau Durà', 'Lionel Auguste', 'Maarten Dannenberg', 'Christian Stamm', 'Juan Del Santo', 'Blanca Zurdo', 'Karlos Klaumannsmoller', 'Scott Alexander Young', 'Martin Angerbauer', 'Jaume Cervera']",['Luis Oliveros'],"['Ishtar Films', 'Tornasol Films', 'Hernández y Fernández P.C']",[],"['Drama', 'Años 30', 'II Guerra Mundial', 'Ajedrez', 'Nazismo', 'Drama carcelario', 'Familia']",['2017: Festival de Málaga: Sección Oficial'],0.0,244806.0,Marc Clotet
¡Atraco!,https://www.filmaffinity.com/es/film819609.html,Sí,5.8,2136.0,2012-01-01,"['Óscar Jaenada', 'Amaia Salamanca', 'Guillermo Francella', 'Francesc Albiol', 'Nicolás Cabré', 'Daniel Fanego', 'Jorge Suquet', 'Jordi Martínez', 'Félix Cubero', 'Felipe Vélez', 'Bárbara de Lema']",['Eduard Cortés'],"['Argentina Sono Film S.A.C.I', 'Castafiore Films', 'Pedro Costa Producciones Cinematográficas S.A', 'Telefé', 'Tornasol Films']",[],"['Thriller', 'Comedia', 'Basado en hechos reales', 'Robos & Atracos', 'Años 50']",['2012: Festival de San Sebastián: Sección oficial (fuera de concurso)'],0.0,0.0,Óscar Jaenada
Lágrimas negras,https://www.filmaffinity.com/es/film183080.html,Sí,5.8,2536.0,1999-01-01,"['Ariadna Gil', 'Fele Martínez', 'Elena Anaya', 'Ana Risueño', 'Elvira Mínguez', 'Felipe Vélez', 'Arturo Acero', 'Maruja Yusti', 'Elena Lombao', 'Alfonso Delgado', 'Ángela Castilla', 'José Urdiain', 'Silvia Casanova', 'Ramiro Alonso', 'Ángeles González-Sinde']",['Ricardo Franco'],['Sogetel'],[],"['Drama', 'Romance', 'Drama romántico', 'Drogas']","['1999: Premios Goya: Nominada a mejor actriz (Ariadna Gil)', '1999: Seminci de Valladolid: Mejor actriz (Ariadna Gil)', '1998: Festival de Valladolid - Seminci. 1 premio.']",0.0,0.0,Ariadna Gil
Criando ratas,https://www.filmaffinity.com/es/film577407.html,Sí,5.8,3195.0,2016-01-01,['No se encontró información de reparto'],['Carlos Salado'],['Rubén Ferrández'],[],"['Drama', 'Cine quinqui', 'Crimen', 'Drogas']",[],0.0,0.0,No se encontró información de reparto
La marrana,https://www.filmaffinity.com/es/film776216.html,Sí,5.8,3423.0,1992-01-01,"['Alfredo Landa', 'Antonio Resines', 'Agustín González', 'Manuel Alexandre', 'El Gran Wyoming', 'Cayetana Guillén Cuervo', 'Fernando Rey']",['José Luis Cuerda'],"['Antea Film', 'Central de Producciones Audiovisuales']",[],"['Comedia', 'Edad Media', 'Siglo XV']",['1992: Premios Goya: Mejor actor (Alfredo Landa)'],0.0,1143386.0,Alfredo Landa
Jandro,https://www.filmaffinity.com/es/film158891.html,Sí,5.8,114.0,1965-01-01,"['Alfredo Alcón', 'Arturo Fernández', 'María Mahor', 'Agustín González', 'Margot Cottens', 'Ana María Noé', 'George Rigaud', 'Frank Braña', 'Luis Induni', 'Manuel Miranda']",['Julio Coll'],['Asturias Films'],['España-Argentina'],['Drama'],[],0.0,0.0,Alfredo Alcón
El guardián del paraíso,https://www.filmaffinity.com/es/film447289.html,Sí,5.8,161.0,1955-01-01,"['Fernando Fernán Gómez', 'Rafael Bardem', 'Emma Penella', 'Antonio Ozores', 'José Isbert', 'Ana María González', 'Antonio Fornis', 'José Prada', 'Elvira Quintilla', 'Antonio Riquelme', 'Xan das Bolas', 'Manuel Arbó', 'Félix Dafauce']",['Arturo Ruiz Castillo'],"['Roncesvalles P.C', 'Suevia Films']",[],['Comedia'],[],0.0,0.0,Fernando Fernán Gómez
Fuenteovejuna,https://www.filmaffinity.com/es/film124666.html,Sí,5.8,184.0,1947-01-01,"['Amparo Rivelles', 'Manuel Luna', 'Fernando Rey', 'Manuel Kayser', 'Carlos Muñoz', 'Rafael Calvo', 'Tony Leblanc', 'Arturo Marín']",['Antonio Román'],"['Alhambra Films', 'C.E.A']",[],['Drama'],[],0.0,0.0,Amparo Rivelles
Una pasión singular,https://www.filmaffinity.com/es/film746434.html,Sí,5.8,213.0,2003-01-01,"['Daniel Freire', 'Marisol Membrillo', 'Juan Diego', 'María Galiana', 'Manuel Morón', 'Manuel de Blas', 'Antonio Dechent', 'Carlos Álvarez-Novoa', 'Raquel Infante', 'Manuel Morón', 'Antonio de la Torre']",['Antonio Gonzalo'],"['Imagen Line S.A', 'A.G. Films S.A']",[],"['Drama', 'Guerra Civil Española']",[],0.0,0.0,Daniel Freire
Stress-es tres-tres,https://www.filmaffinity.com/es/film506554.html,Sí,5.8,346.0,1968-01-01,"['Geraldine Chaplin', 'Juan Luis Galiardo', 'Fernando Cebrián', 'Porfiria Sanchiz', 'Fernando Sánchez Polack', 'Humberto Sempere', 'Charo Soriano']",['Carlos Saura'],['Elías Querejeta P.C.'],[],"['Drama', 'Años 60', 'Road Movie']",[],0.0,0.0,Geraldine Chaplin
Lugares a los que nunca hemos ido,https://www.filmaffinity.com/es/film598626.html,Sí,5.8,497.0,2022-01-01,"['Belén Fabra', 'Francesc Corbera', 'Pepe Ocio', 'Verónika Moral', 'Sergio Torrico', 'Ana Risueño', 'Emilio Buale', 'Laura Rozalén', 'Miguel Diosdado', 'Carlota Callén']",['Roberto Pérez Toledo'],['Deep Entertainment'],[],['Drama'],"['', '2022: Festival de cine internacional de Alicante. 2 premios.']",0.0,0.0,Belén Fabra
Balarrasa,https://www.filmaffinity.com/es/film476274.html,Sí,5.8,819.0,1951-01-01,"['Fernando Fernán Gómez', 'María Rosa Salgado', 'Jesús Tordesillas', 'Dina Sten', 'Luis Prendes', 'Eduardo Fajardo', 'Maruchi Fresno', 'Mario Berriatúa', 'Julia Caba Alba', 'Manolo Morán', 'José Bódalo', 'Gerard Tichy', 'Gary Land', 'Félix Dafauce']",['José Antonio Nieves Conde'],['Aspa Producciones Cinematográficas S.A'],[],"['Drama', 'Religión']",['1951: Festival de Cannes: Nominada a la Palma de Oro (mejor película)'],0.0,0.0,Fernando Fernán Gómez
El principio de Arquímedes,https://www.filmaffinity.com/es/film670702.html,Sí,5.8,1165.0,2004-01-01,"['Marta Belaustegui', 'Roberto Enríquez', 'Manuel Morón', 'Blanca Oteiza', 'Alberto Jiménez', 'Vicky Peña', 'Fernando Cayo']",['Gerardo Herrero'],['Tornasol Films'],[],['Drama'],[],0.0,0.0,Marta Belaustegui
Un otoño sin Berlín,https://www.filmaffinity.com/es/film580674.html,Sí,5.8,2049.0,2015-01-01,"['Irene Escolar', 'Tamar Novas', 'Ramón Barea', 'Paula Soldevila', 'Naiara Carmona', 'Lier Quesada', 'Mariano Estudillo', 'Itziar Ituño', 'María Isabel Díaz', 'Pablo Viña', 'Patricia López Arnaiz']",['Lara Izagirre'],['Gariza Produkzioak'],[],"['Drama', 'Romance', 'Drama romántico']","['2015: Premios Goya: Mejor actriz revelación (Irene Escolar)', '2015: Premios Feroz: Nominada a Mejor actriz (Escolar)', '2015: Premios Forqué: Nominada a Mejor actriz (Irene Escolar)']",1700000.0,0.0,Irene Escolar
Las furias,https://www.filmaffinity.com/es/film915946.html,Sí,5.8,2152.0,2016-01-01,"['Mercedes Sampietro', 'José Sacristán', 'Carmen Machi', 'Bárbara Lennie', 'Gonzalo de Castro', 'Pere Arquillué', 'Emma Suárez', 'Alberto San Juan', 'Macarena Sanz', 'Elisabet Gelabert', 'Gloria Muñoz', 'Raúl Prieto', 'Lucía Balas']",['Miguel Del Arco'],"['Aquí y Allí Films', 'Kamikaze Producciones S.L', 'RTVE']",[],"['Drama', 'Familia']",['2016: Festival de Valladolid - Seminci: Inauguración'],0.0,0.0,Mercedes Sampietro
Live is Life. La gran aventura,https://www.filmaffinity.com/es/film357692.html,Sí,5.8,2319.0,2021-01-01,"['Adrián Baena', 'Juan del Pozo', 'Raúl del Pozo', 'David Rodríguez', 'Javier Casellas', 'Toni Garrido', 'Marc Martínez', 'Silvia Bel', 'Jon López', 'Fernando Morán', 'Mercedes Castro', 'Luisa Merelas', 'Covadonga Berdiñas', 'Laura Nuñez', 'Filipe Abalde', 'Carlos Alberto Alonso']",['Dani de la Torre'],"['4 Cats Pictures', 'Atresmedia Cine', 'Live is Life AIE', 'Frida Films']",[],"['Aventuras', 'Drama', 'Comedia', 'Años 80', 'Amistad', 'Adolescencia']",['2021: Festival de Málaga: Sección oficial'],0.0,0.0,Adrián Baena
