Actor,Peliculas,Sexo
Adrianna Medina,['La cinta de Álex'],Mujer
Adriano Carvalho,['Intemperie'],Hombre
Adriano Domínguez,"['Mi tío Jacinto', 'El camino', 'De espaldas a la puerta', 'Séptima página', 'La muerte silba un blues', 'La patrulla', 'El turismo es un gran invento', 'Un vampiro para dos', 'La casa de las Chivas', 'Dos chicas locas locas', 'El alcalde y la política', 'Policía']",Hombre
Adriano Prieto,['Cenizas del cielo'],Hombre
Adriano Rimoldi,"['Los chicos', 'Nada', 'Las aguas bajan negras', 'Pacto de silencio', 'Juventud a la intemperie', 'Alhucemas']",Hombre
Adrien Brody,['Manolete'],Hombre
Adrià Arbona,"['Puta y amada', 'La maldita primavera', 'Nos parecía importante']",
Adrià Gual,['El certificado'],
Adrià Salazar,['El fotógrafo de Mauthausen'],
Adriá Collado,"['Mensaka', 'Sobreviviré', 'La mujer del anarquista', 'Aislados', 'El sueño de Ibiza', 'El club del paro', 'La mirada violeta', 'El corazón del guerrero', 'Desechos', 'Perdona si te llamo amor', 'El arte de morir', 'Buñuel y la mesa del rey Salomón', 'Cámara oscura', 'Fumata blanca', 'Dos a la carta', 'El síndrome de Svensson', 'Proyecto Tiempo', 'Atómica (no me hables de los hombres)', 'Proyecto Dos', 'Viaje mágico a África']",
Adrián Baena,['Live is Life. La gran aventura'],Hombre
Adrián De Alfonso,['Amor eterno'],Hombre
Adrián Expósito,"['Los amigos raros', 'El increíble finde menguante', '2 francos, 40 pesetas', 'Soy una buena persona', 'Como la espuma']",Hombre
Adrián Fernández,['La trinchera infinita'],Hombre
Adrián Galván,['La niebla y la doncella'],Hombre
Adrián García,['La soledad'],Hombre
Adrián Garín,['Centauro'],Hombre
Adrián Gordillo,['Dioses y perros'],Hombre
Adrián Hernández,['Lejos del mar'],Hombre
Adrián Labrador,['Matando el tiempo'],Hombre
Adrián Lamana,"['Ali', 'Capitán Trueno y el Santo Grial']",Hombre
Adrián Lastra,"['Primos', 'Litus', 'Toc Toc', 'En tu cabeza', 'Hasta que la boda nos separe', 'El club de los buenos infieles', 'Fuga de cerebros 2', 'De chica en chica', 'Si yo fuera rico', 'Noctem']",Hombre
Adrián Martínez,['El portero'],Hombre
Adrián Marín,"['La soledad', 'Planes para mañana']",Hombre
Adrián Navarro,['Que parezca un accidente'],Hombre
Adrián Núñez,['Yucatán'],Hombre
Adrián Ortega,"['Los bingueros', 'Las chicas de la Cruz Roja', 'Las autonosuyas', 'Currito de la Cruz', 'El liguero mágico', 'Alcalde por elección', 'Agítese antes de usarla', 'Dormir y ligar: todo es empezar', 'Brujas mágicas', 'Los pecados de una chica casi decente', '¡Qué gozada de divorcio!', 'El erótico enmascarado', 'Nosotros, los decentes']",Hombre
Adrián Pino,"['Grupo 7', 'Ali', 'Héroes de barrio']",Hombre
Adrián Portugal,"['La vida de nadie', 'El penalti más largo del mundo']",Hombre
Adrián Ruiz del Cerro,['El rey de la granja'],Hombre
Adrián Ríos,['¿Qué hicimos mal?'],Hombre
Adrián Salzedo,['Seve'],Hombre
Adrián Viador,['Me he hecho viral'],Hombre
Adrián de Núñez,['Asombrosa Elisa'],Hombre
Agnes Kiraly,['Evelyn'],Mujer
Agnès Llobet,['Letters to Paul Morrissey'],Mujer
Agnès Spaak,['Los atracadores'],Mujer
Agustina Leoni,['El color del cielo'],Mujer
Agustí Villaronga,"['El habitante incierto', 'Perros Callejeros II', 'El celo', 'Petit indi', 'Atlas de geografía humana']",
Agustín Almodóvar,"['Mujeres al borde de un ataque de nervios', 'La ley del deseo', 'Laberinto de pasiones']",Hombre
Agustín Bescos,['Amor en el aire'],Hombre
Agustín Della Corte,['La sociedad de la nieve'],Hombre
Agustín Díaz,['Matar cangrejos'],Hombre
Agustín Gil,['Las chicas del tanga'],Hombre
Agustín González,"['Los santos inocentes', 'Plácido', 'El mundo sigue', 'El viaje a ninguna parte', 'Atraco a las tres', 'La vaquilla', 'La escopeta nacional', 'El nido', 'Las bicicletas son para el verano', 'El abuelo', 'Patrimonio nacional', 'El crack Dos', 'Belle Époque', 'Así en el cielo como en la tierra', 'Volver a empezar', 'El grano de mostaza', 'El juego de la verdad', 'Tiempo de amor', 'Stico', 'El pico 2', 'Siete mil días juntos', 'Nacional III', 'El caso Almería', 'El diputado', 'Mambrú se fue a la guerra', 'Gary Cooper, que estás en los cielos...', 'Caricias', 'Los peores años de nuestra vida', 'Luces de bohemia', 'Rififí en la ciudad', 'Historia de un beso', 'El aire de un crimen', 'Los que no fuimos a la guerra', 'Proceso a Jesús', 'Llanto por un bandido', 'La marrana', 'Jandro', '127 millones libres de impuestos', 'Redondela', 'Todos a la cárcel', 'Lázaro de Tormes', 'Diferente', 'Crimen en familia', 'La próxima estación', 'Crimen para recién casados', 'Saïd (Said)', 'La vieja música', 'Companys, proceso a Cataluña', 'Moros y cristianos', 'Casi un caballero', 'La regenta', 'Chocolate', 'La corte de Faraón', 'Hay que deshacer la casa', 'Cinco tenedores', 'El hermano bastardo de Dios', 'Después del sueño', 'A la pálida luz de la luna', 'Dos mejor que uno', 'La miel', 'Es peligroso casarse a los 60', 'De cuerpo presente', 'La noche de la ira', 'De camisa vieja a chaqueta nueva', 'Pares y nones', 'Carmen, la de Ronda', 'Nuevo en esta plaza', 'La batalla del domingo', 'El dinero tiene miedo', 'Mi noche de bodas', 'Tengo 17 años', 'El beso del sueño', 'El divorcio que viene', 'Un genio en apuros', 'Hijos de papá', 'Historias de la puta mili', 'La mujer más fea del mundo', 'Me debes un muerto', 'La duquesa roja', 'Pacto de Brujas', 'Caray con el divorcio', 'Ni te cases ni te embarques', 'Las aventuras de Enrique y Ana', 'Policía', 'Aquí el que no corre, vuela', 'Corazón de bombón']",Hombre
Agustín Jiménez,"['Yucatán', 'Ocho apellidos catalanes', 'Cine Basura: La película', '¡Hasta aquí hemos llegado!']",Hombre
Agustín Mateo,['Jesus Shows You the Way to the Highway'],Hombre
Agustín Otón,['Los amores cobardes'],Hombre
Agustín Pardella,['La sociedad de la nieve'],Hombre
Agustín Rodríguez López,['Entrelobos'],Hombre
Agustín Ruiz,"[""Spinnin'""]",Hombre
Agustín Silva,['El árbol magnético'],Hombre
