Actor,Peliculas,Sexo
Allan Wenger,['Don Quijote de Orson Welles'],Hombre
Allen Leech,['Grand Piano'],Hombre
Allen Russell,['Pánico en el Transiberiano'],Hombre
Allende García,['A diente de perro'],
Allison Smith,['Los años bárbaros'],Mujer
Alma Montiel,['El secreto de Mónica'],Mujer
Alma Muriel,['Barcelona Sur'],Mujer
Alma Rosa Castellanos,['La buena vida'],Mujer
Alma Terzic,['Maus'],Mujer
Almar G. Sato,"['Letters to Paul Morrissey', 'Maniac tales. Relatos inquietantes', 'Los Reyes Magos: La verdad']",Hombre
Almudena Amor,"['El buen patrón', 'La abuela', 'Hermana muerte']",Mujer
Almudena Casado,['Noctem'],Mujer
Almudena Cid,"['Errementari (El herrero y el diablo)', 'Los Reyes Magos: La verdad']",Mujer
Almudena Grandes,['A contratiempo'],Mujer
Almudena León,"['Vampus Horror Tales', 'Wax', 'Vampyres']",Mujer
Almudena Rodríguez,['The Night Watchman. La mina'],Mujer
Almudena Salort,['Malasaña 32'],Mujer
Alonso Caparrós,"['Perdona bonita, pero Lucas me quería a mí', 'La mirada del otro']",Hombre
Alosian Vivancos,['Operación Concha'],
Alou Cissé,['Los pasos dobles'],
Alva Inger,['Las gentiles'],
Alvar Gordejuela,"['Seve', 'Asesinos inocentes']",Hombre
Alvaro Moñino,['Brutal Box'],Hombre
Alvaro Panadero,['Voces'],Hombre
Alvaro de Bazal,['Lo que arde'],Hombre
Alícia Falcó,"['Las buenas compañías', 'La por (El miedo)', '13 exorcismos']",Mujer
Amador Arias,['Lo que arde'],Hombre
Amaia Aberasturi,"['Akelarre', 'Vitoria, 3 de marzo', 'Nora']",Mujer
Amaia Bidasolo,['La pistola de mi hermano'],Mujer
Amaia Lasa,"['Tasio', 'La muerte de Mikel']",Mujer
Amaia Lizarralde,['Estrellas que alcanzar'],Mujer
Amaia Salamanca,"['¡Atraco!', 'Lo dejo cuando quiera', 'Nuestros amantes', 'Tensión sexual no resuelta', 'Fuga de cerebros', '¿Qué te juegas?', 'La piel del tambor', 'Por los pelos', 'A pesar de todo', 'XP3D']",Mujer
Amalia De Isaura,"['Acompáñame', 'Amor en el aire']",Mujer
Amalia Gómez,['Abrígate'],Mujer
Amanda García,"['A los que aman', 'Clara y Elena']",Mujer
Amanda Marugán,['Tensión sexual no resuelta'],Mujer
Amanda Plummer,['Mi vida sin mí'],Mujer
Amanda Ryan,['Metroland'],Mujer
Amanda Salazar,['¡Ja me maaten...!'],Mujer
Amando Beltrán,['Que nos quiten lo bailao'],Hombre
Amara Carmona,"['Cachito', 'Alma gitana']",Mujer
Amarna Miller,"['Cine Basura: La película', 'Contigo no, bicho']",
Amaruk Kayshapanta,['Tercer grado'],
Amassagou Dolo,['Los pasos dobles'],
Amaya Galeote,"['Gallino, the Chicken System']",Mujer
Amber Williams,"['Cinco lobitos', 'Black Beach']",Mujer
Ambroise Bia,['La isla misteriosa y el Capitán Nemo'],Hombre
Amedeo Nazzari,"['Manos sucias', 'Carmen, la de Ronda']",Hombre
Amelia Bence,['De espaldas a la puerta'],Mujer
Amelia David,['Planes para mañana'],Mujer
Amelia Ríus,['Las niñas'],Mujer
Amelia de la Torre,"['Plácido', 'La vaquilla', 'Tormento', 'Padre nuestro', '127 millones libres de impuestos', 'La miel', 'La familia bien, gracias', 'La Celestina', 'La reina del Chantecler']",Mujer
Amets Otxoa,['La ermita'],
Amina Leony,['Kepler Sexto B'],Mujer
Amina Rachid,['Susanna'],Mujer
Amira Casar,['Buñuel y la mesa del rey Salomón'],Mujer
Amit Shukla,['La cinta de Álex'],Hombre
Amon Pegnere Dolo,['Los pasos dobles'],Hombre
Amor Folch,['La orgía'],Mujer
Amor Sánchez,['Little Galicia'],Mujer
Amparo Alcaraz,"['Me he hecho viral', 'La casa del caracol']",Mujer
Amparo Badiola,['Amama'],Mujer
Amparo Baró,"['El bosque animado', 'El nido', 'Noviembre', 'Stico', 'Siete mesas de billar francés', 'Tierra de todos', 'Maktub', 'El elegido', 'Las cosas del querer', '127 millones libres de impuestos', 'Mi general', 'Al servicio de la mujer española', '¡Adiós, Mimí Pompón!', 'Boca a boca', 'Tres de la Cruz Roja', 'Cara de acelga', 'Al otro lado del túnel', 'El palomo cojo', 'Soldadito español', 'Las cosas del querer II', 'Tengo 17 años', 'El divorcio que viene', 'Margarita se llama mi amor', 'Trío de damas']",Mujer
Amparo Climent,"['Demonios en el jardín', 'La criatura']",Mujer
Amparo Fernández,"['Mientras duermes', 'La última cena', 'HollyBlood']",Mujer
Amparo Gómez Ramos,['África'],Mujer
Amparo Larrañaga,"['Jarrapellejos', 'Canción de cuna', 'Mi nombre es sombra', 'Vorvik', '¡Por fin solos!']",Mujer
Amparo Martí,"['El capitán Veneno', 'El relicario']",Mujer
Amparo Moreno,"['Morir (o no)', 'Tapas', '¿Y tú quién eres?', 'En brazos de la mujer madura', 'Año de Gracia', 'Sal gorda', '¡Puta miseria!', '¿Qué te juegas, Mari Pili?', 'El periscopio', 'Chechu y familia', 'El año de la plaga']",Mujer
Amparo Muñoz,"['Familia', 'Mamá cumple 100 años', 'La otra alcoba', 'Fotos', 'Hablamos esta noche', 'La luna negra', 'La mujer del ministro', 'Los invitados', 'La reina del mate', 'Vida conyugal sana', 'Tocata y fuga de Lolita', 'Lulú de noche', 'Clara es el precio', 'Licántropo: El asesino de la luna llena', 'En penumbra']",Mujer
Amparo Oltra,"['Vivir dos veces', 'Cruzando el sentido']",Mujer
Amparo Rivelles,"['La calle sin sol', 'El clavo', 'El batallón de las sombras', 'Eloísa está debajo de un almendro', 'La fe', 'Esquilache', 'Fuenteovejuna', 'Malvaloca', 'Deliciosamente tontos', 'La duquesa de Benamejí', 'Soldados de plomo', 'La leona de Castilla', 'Hay que deshacer la casa', 'Alma de Dios', 'Alba de América', 'La coquito', 'El día que nací yo']",Mujer
Amparo Soler Leal,"['Plácido', 'La escopeta nacional', 'Las bicicletas son para el verano', '¿Qué he hecho yo para merecer esto!', 'El crimen de Cuenca', 'Patrimonio nacional', 'El bosque del lobo', 'El grano de mostaza', 'La gran familia', 'Nacional III', 'Mi hija Hildegart', 'Amador', 'Gary Cooper, que estás en los cielos...', 'Usted puede ser un asesino', 'El amor del capitán Brando', 'Vámonos, Bárbara', 'Los fieles sirvientes', 'La telaraña', 'Así es Madrid', 'Vamos a contar mentiras', '127 millones libres de impuestos', 'Bearn o la sala de las muñecas', 'Los nuevos españoles', 'Retrato de familia', 'Hay que deshacer la casa', 'Cara de acelga', '¡Jo, papá!', 'Hablamos esta noche', 'La becerrada', 'Casa Flora', 'París-Tombuctú', 'Las que tienen que servir', 'Estudio amueblado 2.P.', 'Vuelve San Valentín', 'El divorcio que viene', 'El fascista, la beata y su hija desvirgada', 'Puede ser divertido', 'Ni te cases ni te embarques', 'Las aventuras de Enrique y Ana']",Mujer
Amparo Valle,"['Noviembre', 'Flores de otro mundo', 'Espérame en el cielo', 'Bajo las estrellas', 'Bajarse al moro', 'Carne de gallina', 'El certificado', 'El vuelo de la paloma', 'Teresa: el cuerpo de Cristo', 'Viral']",Mujer
Amália Sancho,['Tres días con la familia'],Mujer
Américo Coimbra,['El Love Feroz o Cuando los hijos juegan al amor'],Hombre
Ana Adams,['Marisa en los bosques'],Mujer
Ana Adamuz,['La Dolores'],Mujer
Ana Alonso,['Desechos'],Mujer
Ana Amendola,"['Cañas y barro', 'Mañana...']",Mujer
Ana Anguita,['Las aventuras de Enrique y Ana'],Mujer
Ana Aparicio,['Afterparty'],Mujer
Ana Arias,['La suite nupcial'],Mujer
Ana Asensio,['Carne cruda'],Mujer
Ana Astorga,['Marisa en los bosques'],Mujer
Ana Babiloni,['Nosotros no nos mataremos con pistolas'],Mujer
Ana Belén,"['La colmena', 'La casa de Bernarda Alba', 'Tormento', 'Demonios en el jardín', 'El amor del capitán Brando', 'Españolas en París', 'Libertarias', 'Cosas que hacen que la vida valga la pena', 'Divinas palabras', 'Sé infiel y no mires con quién', 'El amor perjudica seriamente la salud', 'La corte de Faraón', 'El vuelo de la paloma', 'La criatura', 'Después del sueño', 'La petición', 'Emilia... parada y fonda', '¡Jo, papá!', 'Sonámbulos', 'La reina de España', 'La pasión turca', 'Morbo', 'Adiós pequeña', 'Vida conyugal sana', 'Tirano Banderas', 'La oscura historia de la prima Montse', 'Cuentos eróticos', 'Rosa Rosae', 'Zampo y yo', 'Miss Caribe', 'Aunque la hormona se vista de seda...']",Mujer
Ana Belén Jiménez,['Rocambola'],Mujer
Ana Bettschen,"['Piccolo Grande Amore', 'La lava en los labios']",Mujer
Ana Blanco,['Retorno a Hansala'],Mujer
Ana Blanco de Córdova,"['Zipi y Zape y la isla del capitán', 'Tin & Tina']",Mujer
Ana Bravo,['Tengamos la fiesta en paz'],Mujer
Ana Caldas,['Afterparty'],Mujer
Ana Carvajal,"['La primera cita', 'Lola, espejo oscuro', '¡Vente a Alemania, Pepe!']",Mujer
Ana Casares,"['El juego de la verdad', 'El secreto de Mónica']",Mujer
Ana Castor,"['Miss Muerte', 'La mano de un hombre muerto', '091, policía al habla', 'Casi un caballero']",Mujer
Ana Celentano,"['La isla del viento', 'El faro de las orcas']",Mujer
Ana Chávarri,['Di que sí'],Mujer
Ana Claudia Talancón,"['La venta del paraíso', 'El último justo', 'El sueño de Iván']",Mujer
Ana Cris Guerrero,['Nasciturus: El que va a nacer'],Mujer
Ana Cuerdo,['Para que no me olvides'],Mujer
Ana Cuesta,['La primera cita'],Mujer
Ana Duato,"['El perro del hortelano', 'El color de las nubes', 'Madrid', 'Las razones de mis amigos', 'Amor propio', 'Una estación de paso', 'Adosados', 'Un negro con un saxo', 'La vuelta de El Coyote']",Mujer
Ana Esmeralda,"['La cesta', 'La casa de la Troya', 'Lola la piconera']",Mujer
Ana Farra,"['Ceremonia sangrienta', 'El retorno de Walpurgis']",Mujer
Ana Fernández,"['Solas', 'Hable con ella', 'En la ciudad sin límites', 'La novia', ""You're the One (Una historia de entonces)"", 'Sé quién eres', 'Historia de un beso', 'Bienvenido a Farewell-Gutmann', 'Tiovivo c. 1950', 'Chavalas', 'Pasos', 'Sin ti', 'Los niños salvajes', 'Con el viento', 'Voces', '@buelos', 'Vidas pequeñas', 'Morir en San Hilario', 'Amor en defensa propia', 'El corazón de la Tierra', 'La promesa', 'La soledad era esto', 'Lola, la película', '75 días', 'Reflejos', 'La luz con el tiempo dentro', 'Purgatorio', 'Historias de Lavapiés', 'Sólo química', 'Proyecto Tiempo', '¡¡¡A tope!!!', 'La suite nupcial', 'Tánger']",Mujer
Ana Godoy,['La llamada'],Mujer
Ana Goya,['Mi hermano del alma'],Mujer
Ana Gracia,"['Camino', 'La ardilla roja', 'Pan de limón con semillas de amapola', 'Réquiem por un campesino español', 'El pájaro de la felicidad', 'Krámpack', 'Vidas pequeñas', 'Todos los hombres sois iguales', 'Arena en los bolsillos', 'A tiro limpio', 'La reina del mate', 'Acantilado', 'El invierno de las anjanas', 'Tu novia está loca', 'Menos es más', 'Le llamaban J.R.']",Mujer
Ana Iglesias,"['El asesino de los caprichos', 'La maldición del guapo', 'A pesar de todo']",Mujer
Ana Isabel Mena,['El olivo'],Mujer
Ana Isabel Velásquez,['[•REC]³: Génesis'],Mujer
Ana Jiménez,['Los hijos de San Luis'],Mujer
Ana Katz,"['Kiki, el amor se hace']",Mujer
Ana Labordeta,"['Uno para todos', 'Planes para mañana', 'Una casa en las afueras', 'Embarazados', '¡Oh, cielos!']",Mujer
Ana Lizarán,"['Héroes', 'Morir (o no)', 'Actrices', 'Tacones lejanos', 'La primera noche de mi vida', 'El porqué de las cosas', 'La telaraña', 'Forasteros', 'La Celestina', 'El vicario de Olot', 'Souvenir']",Mujer
Ana Lucía Billate,['The Birthday'],Mujer
Ana Malaver,['Besos para todos'],Mujer
Ana Mariscal,"['Segundo López, aventurero urbano', 'Un hombre va por el camino', 'Un día perdido', 'Pacto de silencio', 'Jeromín', 'Morena Clara', 'La violetera', 'La reina del Chantecler', 'La princesa de los Ursinos', 'Con la vida hicieron fuego', 'Raza (AKA El espíritu de una raza)']",Mujer
Ana María Alba,['Una chica para dos'],Mujer
Ana María Ayala,"['Pieles', 'Nacida para ganar']",Mujer
Ana María Barbany,"['El certificado', 'Lo mejor que le puede pasar a un cruasán']",Mujer
Ana María Campoy,"['Ella, él y sus millones', 'Tuvo la culpa Adán', 'Un marido a precio fijo']",Mujer
Ana María Custodio,"['Mi calle', 'Peppermint Frappé', 'Don Lucio y el hermano Pío', 'El bailarín y el trabajador', 'Don Quintín el amargao', 'Pecado de amor', '¿Dónde vas, Alfonso XII?', '¡Centinela, alerta!', 'Ha llegado un ángel', '¿Dónde vas triste de ti?', 'Alba de América', 'Buenos días, condesita', 'El ángel']",Mujer
Ana María García,['Carmina o revienta.'],Mujer
Ana María González,['El guardián del paraíso'],Mujer
Ana María Morales,"['La querida', 'A mí las mujeres ni fu, ni fa']",Mujer
Ana María Noé,"['A hierro muere', 'La dama del alba', 'Jandro', 'Pecado de amor', 'Al ponerse el sol']",Mujer
Ana María Quijada,['La chica del gato'],Mujer
Ana María Rossiers,['Vaya luna de miel'],Mujer
Ana María Ventura,"['Nunca pasa nada', 'La espada negra', 'El triangulito', 'Rosa Rosae']",Mujer
Ana María Vidal,"['Los chicos', 'Vete de mí']",Mujer
Ana Mena,"['La piel que habito', 'Viaje al cuarto de una madre']",Mujer
Ana Milán,"['Donde caben dos', 'Y todos arderán', 'El hombre de las mariposas', 'En temporada baja', 'Al final del camino', 'Camera Café, la película', 'Descarrilados', 'Muertos de amor']",Mujer
Ana Molina,['Comando Txikia (Muerte de un presidente)'],Mujer
Ana Moreira,['Los nombres de Alicia'],Mujer
Ana Morgade,"['En tu cabeza', 'Bajo el mismo techo']",Mujer
Ana Morán,['La duquesa roja'],Mujer
Ana Obregón,"['La vida alegre', 'Sinatra', 'Mi otro Jon', 'Misterio en la isla de los monstruos', 'Goma-2', 'Hijos de papá', 'La mirada del otro', 'Policía', 'El tesoro de las cuatro coronas', 'Regreso del más allá']",Mujer
Ana Oca,['La isla de las mentiras'],Mujer
Ana Ofelia Murguía,['Nadie hablará de nosotras cuando hayamos muerto'],Mujer
Ana Otero,"['La voz de su amo', 'Malena es un nombre de tango', 'Un buen día lo tiene cualquiera', 'Reflejos', 'Pon un hombre en tu vida']",Mujer
Ana Padrão,['La balsa de piedra'],Mujer
Ana Palmieri,['Chispita y sus gorilas'],Mujer
Ana Pascual,['Valentín'],Mujer
Ana Peregrina,"['Yo, también']",Mujer
Ana Polvorosa,"['Una vida no tan simple', 'Un hombre de acción', 'Con quién viajas', 'Pieles', 'Atasco en la nacional', 'La piedad', 'No lo llames amor... llámalo X', 'Mentiras y gordas']",Mujer
Ana Rayo,"['Inconscientes', 'El diario de Carlota', 'Clandestinos', 'La sal de la vida']",Mujer
Ana Revert,"['Lucas', 'HollyBlood']",Mujer
Ana Risueño,"['Todo lo que tú quieras', 'Lágrimas negras', 'Lugares a los que nunca hemos ido', 'Impulsos', 'La herencia Valdemar', 'No respires, el amor está en el aire', 'Isi/Disi: Amor a lo bestia', 'No dejaré que no me quieras', 'El paraíso ya no es lo que era', 'La herencia Valdemar II: La sombra prohibida', 'Enciende mi pasión']",Mujer
Ana Roca,['Los violadores'],Mujer
Ana Ruiz,['El hombre de arena'],Mujer
Ana Rujas,"['Venus', 'Toc Toc', 'Diana', 'Faraday', 'Summertime']",Mujer
Ana Santos,"['Eroski Paraíso', 'Notas sobre un verano', 'La isla de las mentiras']",Mujer
Ana Serradilla,['El año de la plaga'],Mujer
Ana Soriano,['DiDi Hollywood'],Mujer
Ana Summers,['Suéltate el pelo'],Mujer
Ana Sáez,['Alegre ma non troppo'],Mujer
Ana Torguet,['Tros (Tierras)'],Mujer
Ana Torrent,"['Tesis', 'El espíritu de la colmena', 'Cría cuervos...', 'Cerrar los ojos', 'El nido', 'Vacas', 'Operación Ogro', 'Elisa, vida mía', 'Verónica', 'Yoyes', 'Los paraísos perdidos', 'El hombre de arena', '14, Fabian Road', 'Juego de Luna', 'Nieva en Benidorm', 'El desentierro', 'El palomo cojo', 'Entre rojas', 'Iris', 'No-Do', 'Una preciosa puesta de sol', 'Sagitario', 'El grito en el cielo', 'Puede ser divertido', 'Sangre y arena']",Mujer
Ana Turpin,"['Ama', 'El florido pensil', 'Para Elisa', 'Hot Milk']",Mujer
Ana Ularu,['Musa'],Mujer
Ana Villa,['Infiesto'],Mujer
Ana Wagener,"['Te estoy amando locamente', 'El Reino', 'La voz dormida', 'El bola', 'AzulOscuroCasiNegro', 'Contratiempo', 'El 7º día', 'Horas de luz', 'Todo lo que tú quieras', 'Adú', 'Vida y color', '7 vírgenes', 'El patio de mi cárcel', 'Secuestrados', 'Retrato de mujer blanca con pelo cano y arrugas', 'Tu hijo', 'Fènix 11·23', 'Legado en los huesos', 'A escondidas', '¿Por qué se frotan las patitas?', 'Ofrenda a la tormenta', 'Torremolinos 73', '8 citas', 'Las niñas de cristal', 'Cabeza de perro', 'Las voces de la noche', 'Besos para todos', 'El perfecto desconocido', 'Vulcania']",Mujer
Ana de Armas,"['Una rosa de Francia', 'Anabel', 'Por un puñado de besos', 'El callejón', 'Mentiras y gordas']",Mujer
Ana de Leyva,['Jeromín'],Mujer
Ana de Siria,"['Rojo y negro', 'Eloísa está debajo de un almendro']",Mujer
Ana de las Cuevas,['3 días'],Mujer
Ana de los Riscos,"['Yo, también']",Mujer
Ana del Arco,"['Amigo', 'Call TV']",Mujer
Ana Álvarez,"['La madre muerta', 'Los peores años de nuestra vida', 'Don Juan en los infiernos', 'El rey del río', 'Cha-cha-chá', 'El tesoro', 'GAL', 'Brujas', 'Sinfín', 'Prime Time', 'Yo me bajo en la próxima, ¿y usted?', 'Tierno verano de lujurias y azoteas', 'Dile a Laura que la quiero', 'Rocambola', 'Mátame mucho', 'Aquí huele a muerto... (¡Pues yo no he sido!)', 'Enciende mi pasión', 'Alas rotas', '¡Oh, cielos!']",Mujer
Anabel Alonso,"['Tu nombre envenena mis sueños', 'Carne de gallina', 'El crimen del cine Oriente', 'Amor propio', 'La moños', 'Padre no hay más que uno', 'Kika', 'Las cosas del querer II', 'Los hombres siempre mienten', 'Pon un hombre en tu vida', 'Corazón Loco', 'Atasco en la nacional', 'Hotel y domicilio', 'La mujer más fea del mundo', 'El robobo de la jojoya', '9 meses', 'Ángeles S.A.']",Mujer
Anabel Jordá,['El espontáneo'],Mujer
Anabel Moreno,['La hija de un ladrón'],Mujer
Anabela Teixeira,['La pequeña Suiza'],Mujer
Anabell Mendoza,"['El fascista, la beata y su hija desvirgada']",
Anabell Rivero,['9 meses'],
Anahí Beholi,"['La mano invisible', '2 francos, 40 pesetas', 'La suite nupcial']",
Anais Domenech,['Viva la vida'],
Analía Gadé,"['La vida por delante', 'La vida alrededor', 'Sólo para hombres', 'Las largas vacaciones del 36', 'La duda', 'La revolución matrimonial', 'La fiel infantería', 'Mayores con reparos', 'Ana dice sí', 'La mansión de la niebla', 'Una muchachita de Valladolid', 'Viaje de novios', 'Luna de verano', 'Tú y yo somos tres']",Mujer
Analía Ivars,['Las chicas del tanga'],Mujer
Analía Juan,['El vasco'],Mujer
Anani Yavashev,['Dalí'],
Anartz Zuazua,"['Algunas chicas doblan las piernas cuando hablan', 'Carretera y manta']",Hombre
Anastasia Hille,"['El amor en su lugar', 'Los abandonados']",Mujer
Anastasia Russo,"['Alguien que cuide de mí', 'Tin & Tina', 'La ermita', 'Culpa mía']",Mujer
Anastasio Alemán,['El arte de vivir'],Hombre
Anastasio Campoy,"['La Sabina', 'La miel', 'El fascista, la beata y su hija desvirgada']",Hombre
Anatoly Chugunov,['Un novio para mi mujer'],Hombre
Anaël Snoek,['Ons'],Hombre
Anaís López,['Animals'],
Anaïs Duperrein,['Benidorm mon amour'],Mujer
Anchel Pablo,['La novia'],
Ander Barinaga Rementeria,['Oreina (Ciervo)'],Hombre
Ander Janin,['Bajo las estrellas'],Hombre
Ander Lipus,['Amama'],Hombre
Andere Garabieta,"['20.000 especies de abejas', 'Todas las lunas']",Mujer
Andoni Agirregomezkorta,"['Dos a la carta', 'Cuerpo de élite']",Hombre
Andoni Erburu,['Secretos del corazón'],Hombre
Andoni Ferreño,"['El crack Cero', 'Sólo se muere dos veces', 'Pelotazo nacional']",Hombre
Andoni Gracia,"['Camarón', 'El habitante incierto', 'Alegre ma non troppo', 'Cascabel', 'Sinfín', '2 rivales casi iguales']",Hombre
Andoni Hernández,['Maktub'],Hombre
Andrea Aureli,['Las pistolas no discuten'],Mujer
Andrea Barrado,['Infiesto'],Mujer
Andrea Berti,['La orgía'],Mujer
Andrea Blasco,['Pájaros muertos'],Mujer
Andrea Carballo,"['Letters to Paul Morrissey', 'Carne de neón', 'Séptimo', 'Sólo química']",Mujer
Andrea Chaparro,['A través del mar'],Mujer
Andrea Davidovics,['Paisito'],Mujer
Andrea Doimeadiós,['Yuli'],Mujer
Andrea Dueso,"['Encontrados en NYC', 'Afterparty']",Mujer
Andrea Duro,"['Los amigos raros', 'Con quién viajas', 'Promoción fantasma', 'Los miércoles no existen', 'Pixel Theory', 'Al final todos mueren', 'Xtremo', 'Pasaje al amanecer', 'Tres metros sobre el cielo', 'Perdona si te llamo amor', 'La maldición del guapo', 'Por un puñado de besos', 'Todos lo hacen', 'En Apatía: Secuelas del odio']",Mujer
Andrea Fandós,['Las niñas'],Mujer
Andrea Fantoni,['Amor idiota'],Mujer
Andrea Ferréol,"['No respires, el amor está en el aire']",Mujer
Andrea Gara,"[""Canciones de amor en Lolita's Club""]",Mujer
Andrea Granero,['Bwana'],Mujer
Andrea Guasch,['Esto no es una cita'],Mujer
Andrea Haro,"['La primera cita', 'Sevillanas de Brooklyn']",Mujer
Andrea Mesa,['Maniac tales. Relatos inquietantes'],Mujer
Andrea Moro,['El pisito'],Mujer
Andrea Occhipinti,"['Más allá del jardín', 'Amor de hombre']",Mujer
Andrea Olesa,['Nosotros no nos mataremos con pistolas'],Mujer
Andrea Ramírez,['La buena estrella'],Mujer
Andrea Ros,"['[•REC]²', 'Es por tu bien', 'Al final todos mueren', 'A 1000 km de la Navidad', 'Tengo ganas de ti', 'Las leyes de la termodinámica', '¿A quién te llevarías a una isla desierta?', 'Menú degustación', 'El diario de Carlota', 'La final']",Mujer
Andrea San Vicente,['Intacto'],Mujer
Andrea Tenuta,['Luz de domingo'],Mujer
Andrea Tivadar,['Inside'],Mujer
Andrea Trepat,"['La paradoja de Antares', 'Todo parecía perfecto', 'El club de los incomprendidos']",Mujer
Andrea Villanueva,['La sombra de nadie'],Mujer
Andreas Muñoz,"['Volando voy', 'Arena en los bolsillos']",Hombre
Andreu Benito,['Puente de Varsovia'],Hombre
Andreu Buenafuente,"['Anacleto: Agente secreto', 'Lo mejor que le puede pasar a un cruasán', 'El pregón']",Hombre
Andreu Carandell,['Caracremada'],Hombre
Andreu Castro,"['Un novio para mi mujer', 'Terca vida', 'La estación del olvido', 'Vulcania', 'Slam', 'Fin de curso', 'Benidorm mon amour']",Hombre
Andreu Ferrer,['Verano Rojo'],Hombre
Andreu Kreutzer,['No Matarás'],Hombre
Andrew Divoff,['Faust: La venganza está en la sangre'],Hombre
Andrew Faulds,['Campanadas a medianoche'],Hombre
Andrew Lua,['Boi'],Hombre
Andrew McCarthy,['Cosas que nunca te dije'],Hombre
Andrew Tarbet,"['De mayor quiero ser soldado', 'El mal que hacen los hombres', 'Menú degustación', 'El kaserón']",Hombre
Andrew Tieman,['Autómata'],Hombre
Andros Perugorría,['El cazador de dragones'],
André Argaud,['Las crueles'],Hombre
André Courrèges,['Ditirambo'],Hombre
André Falcon,"['27 horas', 'Historias del Kronen', 'Los ojos vendados']",Hombre
André Schneider,['La silla'],Hombre
Andrés Almeida,['Reyes contra Santa'],Hombre
Andrés Batista,['Segundo origen'],Hombre
Andrés Cheung,['El fantasma de la sauna'],Hombre
Andrés García,['La leyenda del tambor'],Hombre
Andrés Gertrudix,"['Que Dios nos perdone', 'El orfanato', 'Frío sol de invierno', 'Bajocero', '10.000 noches en ninguna parte', 'Aunque tú no lo sepas', 'La herida', 'Morir', 'El árbol magnético', 'El jugador de ajedrez', 'Las altas presiones', 'Alegría Tristeza', 'Tuya siempre', 'Los aires difíciles', 'Bosque de sombras', 'Silencio en la nieve', 'La sombra de nadie', 'Culpa', 'Amor en defensa propia', 'El idioma imposible', 'Campanadas a muerto', 'Ayudar al ojo humano', 'Oro', 'La pistola de mi hermano', 'Muertos comunes', 'Shacky Carmine', 'Teresa: el cuerpo de Cristo', 'A golpes', 'Cámara oscura', 'Purgatorio', 'Buenas noches, España', 'No debes estar aquí']",Hombre
Andrés Herrera,"['La distancia', 'V.O.S. (Versión original subtitulada)', 'Las 2 vidas de Andrés Rabadán', 'Secuestro', 'La higuera de los bastardos', 'Hierro', 'Eskalofrío', 'Lo bueno de llorar', 'Menú degustación', 'Vulcania', 'Golpe maestro']",Hombre
Andrés Iniesta,['¿Quién mató a Bambi?'],Hombre
Andrés Isbert,['Comando Txikia (Muerte de un presidente)'],Hombre
Andrés Juste,['El rey de la montaña'],Hombre
Andrés Lima,"['El Reino', 'Alejandro y Ana: Lo que España no pudo ver del banquete de la boda de la hija del presidente', 'El viaje de Carol', 'Horas de luz', 'Vida y color', '10.000 noches en ninguna parte', 'Dispongo de barcos', 'La espalda de Dios', 'Días de cine', 'Puede ser divertido']",Hombre
Andrés Mejuto,"['Los pájaros de Baden-Baden', 'Proceso a Jesús', 'Tobi', 'Nuevo en esta plaza', 'Sor Citroën', 'Buenas noches, señor monstruo', 'Los guardiamarinas', 'El Zorro justiciero']",Hombre
Andrés Migueláñez,['Bajo un manto de estrellas'],Hombre
Andrés Pajares,"['¡Ay, Carmela!', 'Moros y cristianos', 'Yo hice a Roque III', 'Bwana', 'Makinavaja, el último choriso', 'Todos al suelo', 'Los bingueros', '¡Semos peligrosos! (uséase Makinavaja 2)', 'Los liantes', 'Los energéticos', 'Como matar a papá... sin hacerle daño', 'El liguero mágico', 'El currante', 'Los chulos', 'Agítese antes de usarla', 'Un lujo a su alcance', 'Brujas mágicas', '¡Qué gozada de divorcio!', 'La Lola nos lleva al huerto', 'La hoz y el Martínez', 'Cristóbal Colón, de oficio... descubridor', 'Grandes ocasiones', 'Playboy en paro', 'Los novios de mi mujer', 'Padre no hay más que dos', 'El marino de los puños de oro', 'El donante', 'La vida sigue igual', 'En un mundo nuevo', 'Me has hecho perder el juicio', 'Los extremeños se tocan', 'Desmadre matrimonial', 'Un adulterio decente', 'La daga de Rasputín']",Hombre
Andrés Parra,['Órbita 9'],Hombre
Andrés Poveda,"['La noche que mi madre mató a mi padre', 'Escuchando a Gabriel']",Hombre
Andrés R. Santiago,['La sombra'],Hombre
Andrés Resino,"['Crimen en familia', 'Días de viejo color', 'La noche de Walpurgis', 'La mansión de la niebla', 'El señor está servido', 'Regreso del más allá']",Hombre
Andrés Velencoso,"['100 metros', 'La lista de los deseos', 'Amor de madre', 'Señor, dame paciencia', 'Summer Camp', 'Fin']",Hombre
Andrés de la Cruz,['El viaje de Carol'],Hombre
Andy García,['Muerte en Granada'],Hombre
Andy Gorostiaga,['Objetos'],Hombre
Andy Nyman,['Autómata'],Hombre
Ane Biain,['Todas las lunas'],Mujer
Ane Gabaraín,"['20.000 especies de abejas', 'En 80 días', 'La comunidad', 'Loreak (Flores)', 'La máquina de pintar nubes', 'Agur Etxebeste!', 'El coche de pedales', 'El comensal']",Mujer
Ane Pikaza,"['Vitoria, 3 de marzo', 'Nora', 'La ermita']",Mujer
Ane Sánchez,"['Tierra', 'Aupa Etxebeste!']",Mujer
Anett Duran,['Pasaje al amanecer'],Mujer
Angel Acero,['Brutal Box'],Hombre
Angel Bonanni,['Llegaron de noche'],Hombre
