Title,URL,Procesado,Nota,Votos,Año,Reparto,Director,Compañias,Coproduccion,Generos,Premios
Belmonte,https://www.filmaffinity.com/es/film324971.html,Sí,4.4,427,1995,"Achero Mañas, Jesús Bonilla, Lautaro Murúa, Luis Miguel Calvo, Natalia Menéndez, Raúl Fraire, Mónica Molina, Jacqueline Arenal",Juan Sebastián Bollaín,,España-Francia-Portugal;,"Drama, Biográfico, Toros",
Los chicos con las chicas,https://www.filmaffinity.com/es/film539698.html,Sí,4.4,454,1967,"Los Bravos, Mike Kennedy, Tony Martínez, Pablo Sanllehi, Manolo Gómez Bur, José Luis Coll, Luis Sánchez Polack",Javier Aguirre,Estudios Moro,Moro,"Comedia, Musical",
Cargo,https://www.filmaffinity.com/es/film663807.html,Sí,4.4,1461,2005,"Peter Mullan, Daniel Brühl, Luis Tosar, Gary Lewis, Samuli Edelmann, Carlos Blanco, Gonzalo Cunill",Clive Gordon,"Slate Films, Morena Films, Oberón Cinematográfica, Vaca Films, Hepp Films",España-Suecia;Slate,"Thriller, Intriga, Drama",
¿Qué te juegas?,https://www.filmaffinity.com/es/film850593.html,Sí,4.4,1964,2019,"Leticia Dolera, Amaia Salamanca, Javier Rey, Mariam Hernández, Brays Efe, Daniel Pérez Prada, Goizalde Núñez, Santiago Segura, Walter Orellana, Mar Saura, Itziar Castro, Eloy Azorín, Pablo Rivero",Inés de León,"Ajedrez Para Tres, Bowfinger International Pictures, Movistar Plus+",Para,Comedia,2019: Festival de Málaga: Sección oficial
Mari(dos),https://www.filmaffinity.com/es/film976637.html,Sí,4.4,2506,2023,"Paco León, Ernesto Alterio, Celia Freijeiro, Raúl Cimas, Jesús Olmedo, Emma Hernández, Marta Costa, Lucía Gómez, María Córdoba, Kirill Bunegin, Joseph Ewonde, Adriana Fornés, Cristina Rodríguez, José Carlos Palacios",Lucía Alemany,"Telecinco Cinema, Ciskul, Think Studio, Mediaset España, Movistar Plus+","Cinema,Ciskul,Think",Comedia,
Las pistolas no discuten,https://www.filmaffinity.com/es/film621729.html,Sí,4.4,127,1964,"Rod Cameron, Horst Frank, Mimmo Palmara, Ángel Aranda, Vivi Bach, Luis Durán, Kai Fischer, Julio Pérez Tabernero, Hans Nielsen, Simón Arriaga, Andrea Aureli, Juan Cortés, Tito García",Mario Caiano,"Constantin Film, Jolly Film, Trío Films",España-Italia-Alemania,"Western, Spaghetti Western",
Llueven vacas,https://www.filmaffinity.com/es/film610088.html,Sí,4.4,136,2017,"Víctor Clavijo, Maribel Verdú, Laia Marull, Secun De La Rosa, Gloria Muñoz, Pedro Miguel Martínez, María Barranco, Asier Etxeandia, Mónica Regueiro, Sergio Peris-Mencheta, Carmen Mayordomo, Gemma Charines, Eduardo Noriega",Fran Arráez,"Producciones Off, Trisquel Escena, Zombie Company","Off,Trisquel",Drama,
Que nos quiten lo bailao,https://www.filmaffinity.com/es/film846490.html,Sí,4.4,173,1983,"Amando Beltrán, Enric Benavent, Elionor Calatayud, Empar Ferrer, Joan Monleón, Guillermo Montesinos, Fernando Planelles, Celia Zaragoza",Carles Mira,"Ascle Films, Cinco Films, Profilmar P.C","Films,Cinco","Comedia, Musical, Parodia, Siglo XVI, Erótico",
Asombrosa Elisa,https://www.filmaffinity.com/es/film264713.html,Sí,4.4,176,2022,"Jana San Antonio, Asier Etxeandia, Silvia Abascal, Iván Massagué, Milo Taboada, Claudia Bouza, Adrián de Núñez, Mireia Rey, Blanca Valletbò, Alex Losada, Irene Blanch, Jose Corpas, Patrizia Con Z",Sadrac González-Perellón,"La Charito Films, TV3",Charito,"Fantástico, Thriller, Venganza",2022: Festival de Sitges: Sección oficial de largometrajes
El cristo de los faroles,https://www.filmaffinity.com/es/film815230.html,Sí,4.4,225,1958,"Antonio Molina, María de los Ángeles Hortelano, Margarita Robles, Manuel de Juan, Alicia González, Laura Granados, José Villasante, Jesús Puente, Pedro Fenollar, Fidel Navacerrada, Rafaela Aparicio",Gonzalo Delgrás,Unión Films,Films,"Comedia, Musical",
